section,comparison_or_cohort,metric,real_or_numerator,synthetic_or_denominator,observed,threshold,status,evidence_path
coverage,real,INSERT_internal_supported_emitted_entity_occurrences,0,288092,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,real,INSERT_internal_supported_hypothetical_segments,,,3112317,,DESCRIPTIVE_COUNTERFACTUAL_ONLY,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,fidelity_full,top_level_HATCH_source_entities,0,4050,4050,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,fidelity_full,top_level_HATCH_emitted_entities,0,4050,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,fidelity_full,top_level_INSERT_source_entities,0,17700,17700,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,fidelity_full,top_level_INSERT_emitted_entities,0,17700,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,fidelity_full,INSERT_internal_supported_segment_entity_occurrences,0,35400,35400,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,fidelity_full,INSERT_internal_supported_emitted_entity_occurrences,0,35400,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,gen2_families,top_level_HATCH_source_entities,0,5400,5400,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,gen2_families,top_level_HATCH_emitted_entities,0,5400,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,gen2_families,top_level_INSERT_source_entities,0,23641,23641,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,gen2_families,top_level_INSERT_emitted_entities,0,23641,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,gen2_families,INSERT_internal_supported_segment_entity_occurrences,0,47282,47282,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,gen2_families,INSERT_internal_supported_emitted_entity_occurrences,0,47282,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,synthetic_pooled,top_level_HATCH_source_entities,0,9450,9450,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,synthetic_pooled,top_level_HATCH_emitted_entities,0,9450,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,synthetic_pooled,top_level_INSERT_source_entities,0,41341,41341,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,synthetic_pooled,top_level_INSERT_emitted_entities,0,41341,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,synthetic_pooled,INSERT_internal_supported_segment_entity_occurrences,0,82682,82682,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,synthetic_pooled,INSERT_internal_supported_emitted_entity_occurrences,0,82682,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
quality,measurement,conversion_errors,0,0,0,,PASS,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
quality,measurement,cyclic_or_missing_block_references,0,0,0,,PASS,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
quality,independent_verification,checks,51,51,51/51,,PASS,D:\runs\e2_program\cells\f02_real_axis\verification.json
