idx,rel,parsed,reason,units,n_entities,n_layers,n_block_defs,n_block_refs,wall_candidates,text_count,n_insert,n_hatch,all_have_handle,unique_handle,owner_ok_frac,axis1_hit,axis1_categories,kr_present,mojibake,staged_sha256
24,"01 건축(사업승인)/건축/A80-101~106 지하주차장 램프 평면,단면도.dwg",True,,2,12126,212,897,154,11197,442,154,6,True,True,1.0,True,column|dimension|finish_hatch|grid_axis|opening|room_space|text_note|wall,True,False,84c3c3eb7bc9189ad784f5e55fa0eb388d4382b7ea3c5d80e3540d0440a6831b
25,01 건축(사업승인)/표제부/A00-011 조감도.dwg,True,,2,8,15,10,1,1,5,1,0,True,True,1.0,True,dimension|opening|text_note,True,False,28c817e39b3929000eecc4fcf59fbd456f7d272cc95133cdb7390c9e81dc186c
26,01 건축(사업승인)/표제부/A00-013 대지구적도.dwg,True,,2,164,13,10,4,79,67,4,0,True,True,1.0,True,dimension|opening|room_space|text_note,True,False,28f2d5d48da70ab724120f69cbff93135c6a3b7b4827c45cca01959260dc0ecf
27,01 건축(사업승인)/표제부/A00-014 지구단위계획.dwg,True,,2,203,81,217,4,77,117,4,3,True,True,1.0,True,dimension|opening|text_note,True,False,76d6eeb0a1f65ec1cc470e31bfc1375b363c8de74eedeba775754a9fc18efa8d
28,01 건축(사업승인)/표제부/A00-020 인동거리배치도.dwg,True,,2,102,136,147,29,20,42,29,7,True,True,1.0,True,dimension|finish_hatch|opening|room_space|text_note|wall,True,False,b2fba7096859a44a8829ca8d942f2b82fedd1e26d49ff83c10be333c5afaedcb
29,01 건축(사업승인)/표제부/A00-021~023 대지종횡단면도.dwg,True,,2,5868,59,36,22,5463,258,22,66,True,True,1.0,True,dimension|finish_hatch|grid_axis|opening|text_note,True,False,4822a64a786c5f59952fae74ffb1a65b9474a141ca5f5b9c8155b0fb7576e6a1
30,01 건축(사업승인)/표제부/A00-045~046 기준층 및 지상1층 방화구획평면도.dwg,True,,2,69,255,612,31,4,32,31,0,True,True,1.0,True,column|dimension|finish_hatch|opening|room_space|text_note|wall,True,False,3418b51d92ebd1c49763abb639afa45a896322a5c792ac32bd31d1a57b4a964c
31,01 건축(사업승인)/표제부/A10-001~009 단위세대면적산출표.dwg,True,,2,4008,40,769,10,1176,2023,10,0,True,True,1.0,True,dimension|finish_hatch|grid_axis|opening|room_space|text_note|wall,True,False,157617b28735cfc546ad01508c4d37f644b8acf01733c746f3ef4b02832594c5
32,01 건축(사업승인)/표제부/A10-101~108 코어면적산출표.dwg,True,,2,8915,130,543,32,5420,3031,32,6,True,True,1.0,True,column|dimension|finish_hatch|grid_axis|opening|room_space|slab_floor|text_note|wall,True,False,dfa0239b32f4c0caa2b25dadef4da2c7ad3540d554e30c622f501e9ec7a10f39
33,01 건축(사업승인)/표제부/A10-301~302 지하층면적산출표.dwg,True,,2,1747,84,332,2,498,966,2,16,True,True,1.0,True,column|dimension|finish_hatch|grid_axis|opening|room_space|text_note,True,False,d54af8915b3cf667d0c221615710976a38b33d8309e6ee4e16da0742b2010e13
34,01_건축(실시설계)/01.DWG/00.표제부/A00-013 대지구적도.dwg,True,,2,164,11,8,4,79,67,4,0,True,True,1.0,True,dimension|opening|room_space|text_note,True,False,99bf04683519b3ee43cf5f393712c1152c5bd62a4be85cf1e0330e5f4e0be3e0
35,01_건축(실시설계)/01.DWG/00.표제부/A00-018 단지배치도.dwg,True,,2,129,179,157,26,54,40,26,7,True,True,1.0,True,dimension|finish_hatch|opening|room_space|slab_floor|text_note|wall,True,False,e588b86667fa0eae9a0534d959f13e38d8099d82f2c583ae361c94d2b20179b3
36,01_건축(실시설계)/01.DWG/00.표제부/A00-020 인동거리배치도.dwg,True,,2,133,147,151,26,54,42,26,7,True,True,1.0,True,dimension|finish_hatch|opening|room_space|slab_floor|text_note|wall,True,False,520d5eec5a3ef9a8826cc93edeca79aab137cbfd4523a6db1ef063d3ce66c37e
37,01_건축(실시설계)/01.DWG/00.표제부/A00-021~023 대지종횡단면도.dwg,True,,2,5293,160,179,239,4610,282,239,102,True,True,1.0,True,column|dimension|finish_hatch|grid_axis|opening|room_space|slab_floor|text_note|wall,True,False,b71a66043cb1d7b41e2e70c29282b79cdfd94d160bb27edebd30e9142cd4d552
38,01_건축(실시설계)/01.DWG/00.표제부/A00-025~026 지하교통체계도.dwg,True,,2,324,112,556,61,66,185,61,4,True,True,1.0,True,column|dimension|finish_hatch|grid_axis|opening|room_space|text_note|wall,True,False,ea9c2e5053937ae3c28abfeb71c3c4774b99a7c0cd30ae54580a6427cf9b7ef9
