row_type,cell_id,transform,measurability,drawing_id,param_idx,param,n_lid,n_flip,violation_frac,r_meta,verdict
obs,F01,translate,MEASURABLE,colorful_14926,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",368,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_14926,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",368,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_14927,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",398,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_14927,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",398,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_14927,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",398,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_14928,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",386,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_14928,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",386,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_14928,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",386,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_14935,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",644,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_14935,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",644,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_14935,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",644,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_1554,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",561,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_1554,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",561,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_1554,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",561,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_1603,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",628,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_1603,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",628,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_1603,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",628,0,0.00000000,,
