section,key,category,value1,value2,value3,value4
summary,standalone_auprc,,0.2797802875167646,,,
summary,val_A_rows,,167556,wall_positives,19584,0.11688032657738308
summary,gnn_a_pooled_auprc,,0.9785063095549439,seed17,0.9756709463223272,
summary,gnn_a_seed_auprc,,0.9756709463223272,0.9738583168108583,0.97474938395322,
summary,residual,,5341,fp,5131,210
capture,score>=1,,0.9606815203145478,0.9631650750341064,0.9,0.7007209529948196
capture,score>=4,,0.8696873244710729,0.8787760670434613,0.6476190476190476,0.5089343264341474
capture,score>=8,,0.5800411907882419,0.5940362502436173,0.23809523809523808,0.22946955047864595
capture,score>=12,,0.3840104849279161,0.39524459169752485,0.10952380952380952,0.09099047482632672
per_rule,A1_length_tier_1,wall_topology,0.15012859620790717,1.2844642088547842,0.7081070960494289,0.39912626226455633
per_rule,A2_length_tier_2,wall_topology,0.2137475487666426,1.828772685924406,0.5495225613181052,0.2313017737353482
per_rule,A3_length_tier_3,wall_topology,0.30676804655965456,2.624633721882633,0.36360232166261,0.12715748764592136
per_rule,A4_length_tier_4,wall_topology,0.6334537945276201,5.4196785128610045,0.05560756412656806,0.023120628327245818
per_rule,B1_junction_hub_1,connectivity,0.17342981649542238,1.4838238527730288,0.889721026025089,0.5971257370670104
per_rule,B2_junction_hub_2,connectivity,0.34117586224727237,2.919018728283495,0.3924358734319416,0.11541812886437967
per_rule,B3_endpoint_degree_1,connectivity,0.19942116703294063,1.7061996049515626,0.9039505710541097,0.49697414595717254
per_rule,B4_endpoint_degree_2,connectivity,0.24988534213905705,2.137958965862533,0.5895899644261374,0.2602592566067464
per_rule,C1_anchored_both_ends,spatial_closure,0.2010874172025042,1.720455641175592,0.9039505710541097,0.49285611974504046
per_rule,C2_continuous_run,spatial_closure,0.15369462505739295,1.3149742951448393,0.762778505897772,0.4029518489340877
per_rule,C3_enclosing_hub,spatial_closure,0.19731389391199516,1.688170282287493,0.601572739187418,0.31683735586908257
per_rule,C4_long_anchored_spine,spatial_closure,0.3604890524608571,3.084257744798375,0.34600262123197906,0.09567547566186826
per_rule,D1_opening_host_collinear,opening_relations,0.1750159159637116,1.497394138848839,0.5907133495600075,0.29998328916899425
per_rule,D2_long_opening_host,opening_relations,0.2552968323893434,2.1842583766252464,0.4639580602883355,0.17070113872376996
per_rule,D3_double_line_face,opening_relations,0.19250046408019306,1.6469877328135636,0.30967983523684706,0.16075222612141613
per_rule,D4_long_parallel_face,opening_relations,0.19567556990509735,1.674153175603477,0.5066466953753979,0.1830015039747905
telemetry,wall_seconds,,92.24630559998332,cpu_hours,0.031896701388888886,cpu
telemetry,peak_rss_bytes,,939696128,peak_vram,N/A(no_GPU),
seal,rules_library_sha256,,0b51586b69a7b677f5c1476b48acef07dc52fefbe60350c6e800cd0c81a22f5d,,,
seal,prereg_local_sha256,,97929c61a895f2902ff4aa8eb2ece7f5f60c0b0d9547088dfb3de6515cda81ba,,,
seal,split_manifest_content_hash,,5e16541d7191ad01c57a9cee72172f63112ed68590dd371aff5bf0aaaab8e07b,,,
